datetime,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2015-01-07,0.6303326810176125,0.6335269944735724,0.627280168381665,0.6028413793103448,0.6349779492833517,0.5952923727649758,0.6299332283806522,0.6148098017652198,0.6506806579693707,0.6528974824223178,0.67236799859899,0.643425023212628,0.6721061281991078,0.6547353563867326,0.6589402047463937,0.5094206680584551,0.6462001590366921
2015-01-08,0.6103159071847915,0.6126966132917674,0.6139499532273153,0.5888000000000001,0.6173373759647186,0.5780713559834109,0.6108246023560066,0.6025998928460649,0.6379750425411234,0.6377296439101838,0.6587957152447392,0.6313544568245125,0.6604249823902324,0.641439661256175,0.642508143322476,0.4726513569937372,0.6308360786095655
2015-01-09,0.5933743360357842,0.6013886920787873,0.596351730589336,0.5700689655172416,0.6042171995589855,0.5609876678843144,0.5885402529721511,0.585709048867834,0.6250425411230854,0.6218813789975054,0.6439391728204079,0.6155988857938717,0.6479513970415589,0.626619618913197,0.6290425779432295,0.4538622129436327,0.6242758150630467
2015-01-10,0.57447581772435,0.5804449482783052,0.5794550982226382,0.5492137931034486,0.5843991179713344,0.5311049465791423,0.5726344932414092,0.5692411809491578,0.6117129892229158,0.6066001360852802,0.6310965821196115,0.6005687093779019,0.6326308992721295,0.6073112208892029,0.6131049325267566,0.4053496868475989,0.604765420879246
2015-01-11,0.5667318982387476,0.5717160266402156,0.5667095416276899,0.5407724137931034,0.5782249173098128,0.5267653602131341,0.5612887465392756,0.5615712150692271,0.6010209869540553,0.5987185302789749,0.6223694579842972,0.5917479108635101,0.6242956092979574,0.5979393083980238,0.6040891112145186,0.39102296450939433,0.6026638645916168
2015-01-12,0.5616438356164385,0.5633838741674934,0.5571796071094486,0.5275034482758622,0.5762954796030872,0.5271773462605396,0.5607730307800876,0.5494459013619825,0.5885422575155985,0.5853368110682695,0.6098187443448823,0.5784006499535748,0.6135830007043905,0.5829216654904729,0.5916705444392744,0.3745041753653444,0.5943996364875611
2015-01-13,0.5273693038859382,0.5409664163242169,0.5319808231992518,0.5005793103448277,0.5518743109151045,0.5101485896344312,0.5387601107431734,0.5215294814313509,0.5736528644356212,0.5647539124518032,0.5914013017716936,0.5578574744661098,0.5938013618220237,0.5592942836979538,0.5702361563517915,0.368997912317328,0.5828978757241852
2015-01-14,0.4979312272854344,0.5143545415899109,0.5053203928905524,0.4756689655172416,0.5280044101433299,0.4881485347029582,0.5231800662287606,0.4942334263880662,0.5546795235394214,0.5437457473349965,0.5716996001284258,0.5326427576601671,0.5686780934491664,0.5369654199011998,0.5476093531875291,0.3558716075156579,0.5632170850846302
2015-01-15,0.47176404808498734,0.4883094799489868,0.4699193171188027,0.4461793103448276,0.5058158765159871,0.46076519541871525,0.4907171163346179,0.46524546710656167,0.5342030629608621,0.5219437514175553,0.5477364933889843,0.5048166202414116,0.5481627142521718,0.5129710656316162,0.5227140530479294,0.31884133611691035,0.5328581165511762
2015-01-16,0.4465194296896841,0.4608190449199375,0.43492750233863425,0.42231724137931076,0.47409040793825774,0.4288774753495012,0.4614298897996851,0.43972591151340834,0.5087351106069198,0.4966545701973238,0.5211756808032456,0.47919568245125327,0.5226285513031226,0.4830204657727597,0.49860400186133114,0.18462943632567846,0.5192547995001703
2015-01-17,0.42339949678501543,0.4354258183364033,0.41116113189897135,0.3984000000000002,0.4611356119073873,0.40476255870801153,0.43890125400358293,0.41767475960860573,0.47972206466250683,0.47862327058289905,0.5010945389801819,0.45618616527390926,0.5060460201925336,0.45400141143260386,0.4753664495114009,0.1250782881002089,0.5029535385663977
2015-01-18,0.41892647469946853,0.4248547541448211,0.39815247895229205,0.389931034482759,0.4458379272326348,0.39693482380730044,0.4225612073177353,0.40918704001353484,0.46517300056721506,0.4689838965751873,0.4930095443799069,0.44388347260909955,0.4943355247710732,0.4426252646436131,0.4643147975802703,0.11766701461377847,0.4841531296149042
2015-01-19,0.40265585686329314,0.41085447073827425,0.37926800748362965,0.3759172413793103,0.43461962513781693,0.3880084594468401,0.40521687204820567,0.39613117897526995,0.44696539988655687,0.45293717396234967,0.47415428621464667,0.4209029712163417,0.4720885184315571,0.4273253352152438,0.4476791530944628,0.10678496868476009,0.46674429171873216
2015-01-20,0.370142577578977,0.3837608048745929,0.3573725444340506,0.3394206896551723,0.41072216097023195,0.36040539427064755,0.3756582161663321,0.3661280771508329,0.4200510493477026,0.4327511907462012,0.4469221563877293,0.398125580315692,0.443003052359709,0.4006210303458012,0.4201081898557471,0.10566283924843425,0.4439111666477337
2015-01-21,0.34193458205199867,0.36168343488734567,0.32811038353601507,0.3064551724137935,0.39054575523704516,0.3341206844461531,0.35277672221920636,0.34012914869018374,0.39515031196823586,0.40910637332728556,0.4218791045211757,0.374796889507892,0.4183787274007981,0.3717995765702189,0.3953583061889253,0.1002870563674323,0.4315858230148815
2015-01-22,0.3219457646072129,0.33753719710925306,0.3092843779232927,0.28990344827586245,0.37400771775082686,0.31245021835260517,0.32335378101080314,0.3208132419705043,0.37022121384004536,0.3785155364028124,0.39774087154490534,0.3522516248839366,0.39460554120685615,0.3480875088214536,0.37581433224755717,0.09514613778705645,0.41485857094172435
2015-01-23,0.3041934582051997,0.31078361910160157,0.2836471000935453,0.27241379310344827,0.3491730981256891,0.28297948309483917,0.3114923185494815,0.2996362405887826,0.3546228020419739,0.3533397595826721,0.373602638568635,0.3295032497678737,0.3727694294435313,0.3249117854622446,0.3553978594695209,0.09386743215031321,0.3892991025786663
