datetime,Foreign oil
2018-02-06,64.84
2018-02-09,61.07066667
2018-02-12,61.01433333
2018-02-15,62.651
2018-02-21,63.19066667
2018-02-27,64.12033333
2018-03-02,62.17666667
2018-03-05,63.34866667
2018-03-08,61.39
2018-03-14,62.40466667
2018-03-20,64.41066667
2018-03-23,66.389
2018-03-26,66.14533333
2018-03-29,67.133
2018-04-04,65.521
2018-04-10,67.94133333
2018-04-13,69.25766667
2018-04-16,68.29766667
2018-04-19,70.08333333
2018-04-25,70.071
2018-05-03,70.91966667
2018-05-09,73.907
2018-05-15,74.594
2018-05-18,74.746
2018-05-21,75.41766667
2018-05-24,74.761
2018-05-30,73.383
2018-06-05,71.42566667
2018-06-08,72.16533333
2018-06-11,72.30933333
2018-06-14,72.25566667
2018-06-20,71.15733333
2018-06-26,73.42833333
2018-06-29,75.72733333
2018-07-10,76.23333333
2018-07-13,73.38666667
2018-07-16,70.63533333
2018-07-19,71.49233333
2018-07-25,72.08133333
2018-07-31,71.79233333
2018-08-03,71.19733333
2018-08-06,71.70233333
2018-08-09,70.007
2018-08-15,68.76566667
2018-08-21,69.94833333
2018-08-24,72.31
2018-08-27,72.38033333
2018-08-30,73.51033333
2018-09-05,73.83933333
2018-09-11,75.01033333
2018-09-14,74.402
2018-09-17,74.34
2018-09-20,75.15166667
2018-09-26,76.66933333
2018-10-01,81.03333333
2018-10-04,80.56333333
2018-10-10,79.36866667
2018-10-16,78.06
2018-10-19,76.325
2018-10-22,76.461
2018-10-25,74.53366667
2018-10-31,71.28733333
