datetime,Foreign oil
2015-01-07,0.4055524291877696
2015-01-10,0.37366347777152503
2015-01-13,0.34177452635528044
2015-01-16,0.3864190583380228
2015-01-19,0.3707872194710186
2015-01-22,0.3567185644344401
2015-01-25,0.3511848934533859
2015-01-28,0.3456512224723316
2015-01-31,0.4250297005252298
2015-02-03,0.504408178578128
2015-02-06,0.5052210343275183
2015-02-09,0.5182267242543613
2015-02-12,0.5020946664790846
2015-02-15,0.5190083161695742
2015-02-18,0.5359219658600638
2015-02-21,0.5176014506659163
2015-02-24,0.49928093547176894
2015-02-27,0.5573063215156632
2015-03-02,0.518914525229788
2015-03-05,0.5372350403301445
2015-03-08,0.5138810729694241
2015-03-11,0.49052710560870383
2015-03-14,0.4559182142187207
2015-03-17,0.4213093228287376
2015-03-20,0.45669980622772466
2015-03-23,0.466891765147252
2015-03-26,0.5157256300881636
2015-03-29,0.50637779037704
2015-04-01,0.4970299506659163
2015-04-04,0.5144438192646783
2015-04-07,0.5318576878634402
2015-04-10,0.5147251922716188
2015-04-13,0.5185393610954793
2015-04-16,0.6018883262052147
2015-04-19,0.5937910336709811
2015-04-22,0.5856937411367473
2015-04-25,0.5959794910898519
2015-04-28,0.6062652410429564
2015-05-01,0.6506596636653537
2015-05-04,0.6950540862877508
2015-05-07,0.6894891515663102
2015-05-10,0.6839242168448695
2015-05-13,0.6747326955543049
2015-05-16,0.6679797411367473
2015-05-19,0.6763584068655036
2015-05-22,0.6501281811104859
2015-05-25,0.6238979553554681
2015-05-28,0.6474082411367474
2015-05-31,0.6709185269180268
2015-06-03,0.6310260739073345
2015-06-06,0.616957418870756
2015-06-09,0.6612893141999624
2015-06-12,0.6512224098668167
2015-06-15,0.6411555055336711
2015-06-18,0.6466579128681299
2015-06-21,0.6521603202025887
2015-06-24,0.635402988932658
2015-06-27,0.6194585132245358
2015-06-30,0.6067029326580379
2015-07-03,0.5623085100356406
2015-07-06,0.5179140874132433
2015-07-09,0.5421121740761583
2015-07-12,0.5300443944850871
2015-07-15,0.5132245357343839
2015-07-18,0.502751203714125
2015-07-21,0.4922778716938661
2015-07-24,0.47817795291690113
2015-07-27,0.46407803413993615
2015-07-30,0.4277496405927593
2015-08-02,0.3816669793659726
2015-08-05,0.38104170587131875
2015-08-08,0.378227974864003
2015-08-11,0.37541424385668726
2015-08-14,0.36709810551491273
2015-08-17,0.35878196717313826
2015-08-20,0.3153254548865128
2015-08-23,0.27893453385856315
2015-08-26,0.3295816919902458
2015-08-29,0.35812542993809793
2015-09-01,0.38666916788595007
2015-09-04,0.3797598950478334
2015-09-07,0.37285062220971676
2015-09-10,0.34840242618645656
2015-09-13,0.32983180153817293
2015-09-16,0.3657225036578503
2015-09-19,0.3530607141249296
2015-09-22,0.34039892459200893
2015-09-25,0.3442756206152691
2015-09-28,0.3481523166385293
2015-10-01,0.3439629838679423
2015-10-04,0.37216282132808104
2015-10-07,0.4003626587882198
2015-10-10,0.38648158581879566
2015-10-13,0.37260051284937157
2015-10-16,0.38566873006940533
2015-10-19,0.35990745957606446
2015-10-22,0.3515287938473082
2015-10-25,0.35640592759332207
2015-10-28,0.36128306133933596
2015-10-31,0.3753829801163009
2015-11-03,0.38948289889326576
2015-11-06,0.33095729394109924
2015-11-09,0.3254548865128493
2015-11-12,0.2896267116863628
2015-11-15,0.2800600262614894
2015-11-18,0.27049334083661597
2015-11-21,0.2845619958731945
2015-11-24,0.298630650909773
2015-11-27,0.2819983744138061
2015-11-30,0.25511161132995686
2015-12-03,0.22419183398987055
2015-12-06,0.19327205664978425
2015-12-09,0.1613205777527668
2015-12-12,0.16500969180266373
2015-12-15,0.14681423128868876
2015-12-18,0.15559932479834926
2015-12-21,0.16438441830800973
2015-12-24,0.16707309454136182
2015-12-27,0.16976177077471394
2015-12-30,0.1423956314637654
2016-01-02,0.11502949215281688
2016-01-05,0.08766335284186837
2016-01-08,0.06090164453198277
2016-01-11,0.03413993622209717
2016-01-14,0.009566685424873411
2016-01-17,0.004126805477396406
2016-01-20,0.010191959107109363
2016-01-23,0.03301444391296192
2016-01-26,0.05583692871881448
2016-01-29,0.05261676993059464
2016-02-01,0.049396611142374786
2016-02-04,0.0740949165259801
2016-02-07,0.05921340592759332
2016-02-10,0.0
2016-02-13,0.0361408116676046
2016-02-16,0.0722816233352092
2016-02-19,0.07134371299943729
2016-02-22,0.07040580266366538
2016-02-25,0.08797598949540426
2016-02-28,0.12458575633089483
2016-03-02,0.1570061902082161
2016-03-05,0.1826424061151754
2016-03-08,0.1832676796098293
2016-03-11,0.18745701247420743
2016-03-14,0.1916463453385856
2016-03-17,0.20787219414743952
2016-03-20,0.22409804295629343
2016-03-23,0.2111861439692366
2016-03-26,0.19827424498217977
2016-03-29,0.1991496280247609
2016-04-01,0.19383480275745643
2016-04-04,0.18851997749015195
2016-04-07,0.22781842055899454
2016-04-10,0.26711686362783715
2016-04-13,0.23966735453010693
2016-04-16,0.23422747458262994
2016-04-19,0.26955543050084413
2016-04-22,0.285781279309698
2016-04-25,0.3020071281185518
2016-04-28,0.3069780528981429
2016-05-01,0.311948977677734
2016-05-04,0.3005689990620897
2016-05-07,0.32014006133933604
2016-05-10,0.3397111236165823
2016-05-13,0.3539986244607016
2016-05-16,0.3682861253048209
2016-05-19,0.36415931982742444
2016-05-22,0.3589695492402926
2016-05-25,0.3766022635528043
2016-05-28,0.3806040143500281
2016-05-31,0.3846057651472519
2016-06-03,0.39836178334271244
2016-06-06,0.41211780153817296
2016-06-09,0.3964234353779779
2016-06-12,0.3937972864378166
