,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local,kore local
,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
datetime,,,,,,,,,,,,,,,,,
2015-01-07,0.6111427690640555,0.6157292538032922,0.6123521168710043,0.5869621445858823,0.6183333333333327,0.5775156828937233,0.6096022619144709,0.6010746066591769,0.6377083067258884,0.6379191298179233,0.6579849612342699,0.6299602118164122,0.659583122999789,0.6406848134702584,0.6435286242323701,0.47922534595266075,0.6327391339492463
2015-01-10,0.5673115547376392,0.5716824280576397,0.5675098995639795,0.5386683171060654,0.5790423572744008,0.527660589163212,0.5646630236794168,0.560111691400796,0.6002071833004584,0.5972664932608185,0.6206705107725876,0.590036496703679,0.6228552104724048,0.5957745351470718,0.6029570127186472,0.39037980441209835,0.5994265635178381
2015-01-13,0.4985473670443824,0.5143459377200569,0.5019945607327875,0.4733497145602013,0.5278545119705336,0.4855919145970138,0.5172407543339769,0.49367975217295224,0.5539267857734129,0.5438165050839441,0.5697977948338333,0.5315159201138462,0.5694639802784736,0.5360793675457556,0.5468145173025991,0.34775458791833574,0.5582874885288929
2015-01-16,0.4289704522312632,0.44012798154948457,0.41414600086911085,0.40243316644188726,0.459493554327808,0.4092960123262047,0.4405295924747845,0.42218973435685786,0.48424129759184853,0.4817025301489709,0.5045389020921808,0.4594325101406623,0.506800103900687,0.45948987423426896,0.47934068705919003,0.14116268084882974,0.5004873734612075
2015-01-19,0.37079040047829426,0.38516397045270945,0.354187112745169,0.3391930090343077,0.4109944751381212,0.3598627976081299,0.37734823151999625,0.36744402502714707,0.42037397058753867,0.4318373137857653,0.4470331554135661,0.39756236870383466,0.443499100670944,0.39947452431737573,0.42091834259825195,0.10273613127831993,0.44553066648915185
2015-01-22,0.30487542855007654,0.3161541260816759,0.2842188011151957,0.27216546270807546,0.3518692449355427,0.28699695513408396,0.311502596308077,0.3015949870492499,0.3536874370290479,0.354741073539844,0.3751996727315232,0.3314713883268628,0.3723271303316493,0.3257007519575846,0.3563549579440619,0.09268557233078537,0.3872360456657045
2015-01-25,0.2752155595205851,0.283733393826828,0.23757977022269736,0.2469747076320514,0.3138858195211794,0.25163248835247143,0.2805643911589595,0.2659345928387753,0.31077495068753636,0.3063797588082291,0.33132037246269624,0.2850518408085432,0.32097470606397754,0.2816474321849143,0.31296021420879583,0.09098861111597142,0.33429540062098523
2015-01-28,0.2447990135174272,0.2464637298965464,0.18749359152763345,0.2247492009533138,0.26634438305708963,0.21761620015407793,0.24211365757732276,0.22707764338665684,0.2661122857805086,0.2641759281153936,0.28708068726380176,0.23876782481582165,0.2730431628937325,0.239534040559565,0.2720393492243669,0.09223946397018966,0.2872602954671891
2015-01-31,0.22122992704139244,0.2241851100934341,0.15965274624402495,0.20706856097696222,0.2365285451197049,0.19888844051505974,0.21508124224052755,0.2064504604449794,0.23122223956633356,0.23829746985102812,0.25519149101959826,0.21295875001210074,0.23966751780279516,0.20513327588885882,0.24068414874317262,0.09028883329542889,0.2592161132798573
2015-02-03,0.20528366044821425,0.21249285184292518,0.14857890599442353,0.19129085299388462,0.21828729281767936,0.18867163138779833,0.19983869359939768,0.19162408510358261,0.21322851182789626,0.21363915819342633,0.2309482993727353,0.1958720969631258,0.21305521929416224,0.18205189778650388,0.21846774741212854,0.1609926348384391,0.23848491044215506
2015-02-06,0.20599362896671544,0.21021489368740978,0.1540669996630973,0.1957802944925818,0.22031307550644552,0.1948714186140349,0.1971472328702571,0.19863770336907471,0.210380923999678,0.20633719555450478,0.2255522655549936,0.1942263570094003,0.20170455937777318,0.1798106215774626,0.21298640821909845,0.23225625863788235,0.24033930702626105
2015-02-09,0.2391472904425156,0.23703997769302315,0.17313861342629808,0.2261163559776079,0.23545119705340625,0.21977145163065376,0.19827094038006648,0.2228187036088168,0.22037113246013573,0.21098131946086462,0.23104570070518546,0.2114969457002614,0.20226327061718044,0.1866945413623756,0.22085431279528983,0.3259740032539668,0.2466347456861512
2015-02-12,0.29405775033396614,0.3002840358612989,0.21037366886873912,0.27760637020340995,0.27980662983425447,0.26562786602589955,0.2508133286210109,0.2689525170522123,0.248402370782425,0.2334452589264602,0.25413955662913473,0.24313387610482326,0.23032625795795986,0.2071391239246817,0.25315055735033093,0.4048214691835346,0.2785018377545637
2015-02-15,0.331714106887629,0.33030393254975315,0.2723442069851124,0.3239695530881077,0.3254051565377529,0.30668769947540264,0.29476479170631387,0.3066624672705649,0.2821382451858266,0.2646772286592576,0.28927221724393254,0.27756856443071953,0.2712101979504126,0.24266052669990817,0.28385575831659876,0.38381064012176114,0.30083067457241963
2015-02-18,0.383289583080329,0.37915242942819444,0.34185354992749173,0.37205091728712153,0.3688029465930016,0.3533053303496095,0.3319649475754202,0.3517526994438934,0.3248993647324829,0.3098794041144475,0.3326937312502439,0.3197575921856397,0.3267578574894271,0.30104671365812996,0.3253005035070874,0.38369692622592316,0.34972968603639404
2015-02-21,0.39298625837249046,0.3979904817267112,0.3614720199993156,0.38520516562898355,0.38337016574585603,0.3697952969661392,0.3696997707274195,0.36834658180125857,0.3397522314776711,0.3259588555213997,0.344927338605992,0.33442403942031174,0.338206536921501,0.3208320973354232,0.3456057122345436,0.38109900106716166,0.3689393327025219
2015-02-24,0.43308079628574403,0.43401246733115006,0.38765276577460667,0.4155689397158534,0.40906077348066316,0.39482372794306464,0.4098270034164328,0.3978583079880973,0.3677456281012452,0.3518278552849369,0.3723458136907321,0.3548505764930243,0.357712420542931,0.3490175582331586,0.37655345033324616,0.382481062262732,0.3841739138704111
2015-02-27,0.4536979083953778,0.4593819266232818,0.4035897210544557,0.4363441535647643,0.43370165745856326,0.4196503906966499,0.4226499560485371,0.4219170869980119,0.39384693978912705,0.37433908725466986,0.39350138309892096,0.38380591885533955,0.3840894722139181,0.37420837276755126,0.39853701601715225,0.3862423680481453,0.4073205871304875
2015-03-02,0.46806542920399424,0.47961889098410626,0.4219191726845269,0.46206144807582156,0.4529005524861877,0.4434498697677833,0.439831806359822,0.44173572949621376,0.4217362717412382,0.4000094585008272,0.4172867884832676,0.4126644529850821,0.4083100945398232,0.39355115147919517,0.42561386148219277,0.429733559594829,0.43912111111639374
2015-03-05,0.48434799667435824,0.49975188215111127,0.4443891077941663,0.47740499196334585,0.4754419889502757,0.46060016875160514,0.45390533670445604,0.46097147074446837,0.4423316162662532,0.42051548829510554,0.43974753574628966,0.43488194236037814,0.430041021167315,0.4128939301908378,0.4487325009458948,0.5429838526267909,0.45956702217192597
2015-03-08,0.49961231982213394,0.5110849602775137,0.46760120503693653,0.4888502965248398,0.4955801104972375,0.47598958142264935,0.47014472265267493,0.47714227961396904,0.45726016640886974,0.4398486639867576,0.4563836833287881,0.4580771948846528,0.44863532329286737,0.43180352106375725,0.4675242779669575,0.5337730270639072,0.4736509264850624
2015-03-11,0.5251992115612768,0.5412938991365499,0.49788337312689485,0.5099488240619282,0.5155340699815838,0.4982115998385858,0.5073630028364551,0.501530115781111,0.4768054037945763,0.46099787183731405,0.47873728912611563,0.4887170004937217,0.47038585382349696,0.45447996270817714,0.4883727698710676,0.5341404104196914,0.49470546000922455
2015-03-14,0.5290853550309673,0.5513603947200527,0.5135078390875307,0.5207752138489109,0.5208195211786374,0.5045764701566451,0.5181741565397057,0.5096343234819882,0.48797816533984223,0.471402222747695,0.4905033700861031,0.5037319573656542,0.4796781039104888,0.4699711365059626,0.4998302240072953,0.5238274347894545,0.5009533500387524
2015-03-17,0.5298887404597983,0.5549994565037594,0.5190154633386553,0.5248120161841596,0.5168692449355433,0.5035951428885871,0.5190169371720629,0.5116650762237402,0.49136499737473244,0.47559233861432954,0.49463318658199235,0.5070621605661341,0.483147994765759,0.47767434633367695,0.5057384285534119,0.5219117930057208,0.5003542372961949
2015-03-20,0.5248535689930588,0.5506231302547815,0.5145722558310994,0.5218190551850281,0.5106629834254137,0.4953501595803226,0.517811670246219,0.5081582670909932,0.4901067608924966,0.4733979664223214,0.4929578836638493,0.5043031259378298,0.4814228512896925,0.476911559052448,0.5046324592295082,0.5136894036143528,0.49482908644816553
2015-03-23,0.5135127560791058,0.5419082861909428,0.5097677325482035,0.5179854785966345,0.5010128913443831,0.4912781099820241,0.5143408639860808,0.5032694178978889,0.4859252531846155,0.4715441002601085,0.49029882728795715,0.49948207595573907,0.47902137315539545,0.475564909901638,0.5031190275231139,0.47474676790119136,0.4929176315076236
2015-03-26,0.49762253963212444,0.5325885071812396,0.5049534439740823,0.5132373861473947,0.49382136279926364,0.4850416376242713,0.5099457176775503,0.49488316120510134,0.48043820687110633,0.4696145660912747,0.4870943234503449,0.4951160246667368,0.4759141545081636,0.47380390716596166,0.49865634428631045,0.42860516785920433,0.492366067395429
2015-03-29,0.4944370229899022,0.529819039382211,0.5025316517501845,0.5109095275925141,0.491040515653775,0.4840144539418169,0.5066742788788297,0.49253275293918514,0.48111935744795575,0.4686781745093407,0.4860131686601477,0.4933153915408961,0.47585534279875163,0.4714590425607043,0.4983361952714959,0.3778100453106138,0.492137833969693
2015-04-01,0.4945304399002306,0.521047482667197,0.49902591220026665,0.5056071831063979,0.4812246777163902,0.48165743424190155,0.5008835603403747,0.4892233781007755,0.47830961131845195,0.4682714589737515,0.48474695133829454,0.48964635952641367,0.4753358393656186,0.46899175530537335,0.49690037544748084,0.44667693007470116,0.48931344532620785
2015-04-04,0.4901491868057956,0.5148941600147449,0.49537369328196795,0.499140909342842,0.47578268876611457,0.4797222935544227,0.4989895694569049,0.4846165778995809,0.4756512319838035,0.4655568692362261,0.48118206257061547,0.4867711550190223,0.4725520851201482,0.467240169696627,0.49464963085848435,0.44799776071097414,0.488761881214012
2015-04-07,0.4825824170691378,0.509411937067862,0.4921804430512625,0.4945129048349252,0.47402394106814005,0.4773377600058696,0.4896464852422766,0.4785995327388368,0.47503630437970323,0.4625396074722152,0.47772431526863285,0.4827632941905378,0.47152288020544925,0.4661666172267504,0.49293246796084494,0.44967722748027517,0.4897508927255351
2015-04-10,0.47674386017356873,0.5028616258571882,0.4853252086110337,0.4907809411199588,0.4728729281767961,0.4772368758941995,0.4849704120562939,0.4735790606828408,0.4727658024568714,0.46006148025537935,0.4746269528967158,0.4806141514274372,0.47084654554721805,0.4644527001257177,0.4904197832688176,0.44938856912930125,0.4909681376627949
2015-04-13,0.47435238726914386,0.49899571346878185,0.48233702949606205,0.4862453119515213,0.4702486187845301,0.47609046553431944,0.481898340718991,0.4695833666307837,0.47160217022142076,0.45886970915109987,0.472669186114466,0.4788425607713681,0.4701898147921246,0.46253160623225414,0.48772277035614175,0.44993089694022137,0.48955118847801615
2015-04-16,0.4706437359290778,0.49331499624278663,0.4774641491745884,0.481469506900439,0.4665469613259662,0.4748248284970105,0.47877189643766577,0.46606715586497366,0.47006958142350974,0.456571293449988,0.47126660692718264,0.47740979892930036,0.468670512298999,0.46035624991171403,0.48445336981091797,0.44965973303476103,0.486612683121663
2015-04-19,0.47500630564144763,0.4933244483513157,0.4781184236866901,0.4814233192306981,0.4684622467771634,0.4772919035914744,0.479614677070023,0.4680320971752794,0.47113860941217645,0.4570820524946796,0.47045817586784583,0.47750660716187304,0.4681412069142974,0.45980063942291854,0.48467650397275924,0.4503595108553042,0.4852337728411736
2015-04-22,0.4935028538866101,0.49961955263170316,0.48274717172752835,0.4888041088551008,0.47281767955801096,0.48341832055467926,0.4842273151546455,0.4755440019931465,0.4757836779293019,0.4596925987231026,0.47283476837963123,0.4780874565573058,0.4691998176837013,0.46204191563195984,0.4882563520474989,0.46739910078550073,0.4915101920489178
2015-04-25,0.4984819752071521,0.5022566909113251,0.48418266953766254,0.49141833096236653,0.4746593001841622,0.4857661689717156,0.48574069542995435,0.4798311466701762,0.47817716537295296,0.4615559233861437,0.47465617329645016,0.4806722363669811,0.46980753868095193,0.46353923881362963,0.4899735149451383,0.48313535452493844,0.49202371725682503
2015-04-28,0.5142974581258704,0.5124744202312935,0.48922155980996707,0.5008590906571581,0.48150092081031265,0.4939010968854316,0.48565007385658204,0.49052080346356175,0.4849319085933764,0.46595412627098637,0.47887365099154583,0.4870906221865113,0.47279713390936184,0.4646881282989368,0.4942421684759946,0.48435121848813023,0.49403026945808837
2015-05-01,0.5266565153624109,0.524809421861782,0.49725839448847,0.5129510225950082,0.487108655616943,0.5046223265710409,0.4955187631967667,0.4993113303780865,0.4932287010363888,0.4722534878221799,0.4873183465149809,0.49828165387184487,0.4794036492665695,0.4712518657682727,0.5000921641103255,0.4859344658071062,0.5011910931905607
2015-05-04,0.5369604005717117,0.5353863313058563,0.5040940983462474,0.5279158275906668,0.4949539594843461,0.5118217836310935,0.5037109534295735,0.5084027095506488,0.5023012483030357,0.4795459919602732,0.49486694977987333,0.5084658799384295,0.48490254409652983,0.47802278003004023,0.5077369345246763,0.5017844334423819,0.5022847116888801
2015-05-07,0.5618466654833862,0.5569654950778151,0.5258804630701095,0.5541781366046519,0.5132504604051573,0.526679261895154,0.5274991164396596,0.5303555227543015,0.5148836131253928,0.49464175928115395,0.5083765145907203,0.5260656166200368,0.4995858675462287,0.4951807852942146,0.5240063253684142,0.5837371634506043,0.5138485385928461
2015-05-10,0.5798574457948378,0.5720510602902741,0.5538091959747472,0.5732721192750379,0.5292817679558017,0.5482592905095564,0.5419804438644669,0.5487733219260182,0.5310703997502444,0.5108252541972093,0.5267464058908325,0.5445559890413072,0.5164746300988535,0.5136006855668398,0.5417406404920594,0.6273508161158828,0.539401172549225
2015-05-13,0.6087232710865326,0.6000765620790852,0.5929777790798165,0.5949987991205873,0.5616666666666661,0.5656388715653543,0.5602406908988753,0.5756055826897135,0.5556958851882859,0.5312177819815562,0.5509993376709391,0.5645081657744162,0.5360883351875363,0.5384524835317992,0.5637436091465602,0.6578086457549721,0.56156834402385
2015-05-16,0.6265939260324899,0.6304367346745878,0.6250958219201492,0.6135662423559407,0.5844659300184163,0.5946934957261824,0.602742208810229,0.5976806171231944,0.5754114102182041,0.5514211397493498,0.5702263606966146,0.5845861932098702,0.5563489690797438,0.5630500190696814,0.5894428436993701,0.6620335543464952,0.5831268930298463
2015-05-19,0.6579913495941038,0.654567967749406,0.6537862475403665,0.6377131560958488,0.6007918968692452,0.6121005906306168,0.6410026370877852,0.620996667121079,0.5984191630362284,0.5703381414045869,0.5866190049479884,0.6046835822918379,0.5756882195245079,0.5850860960829453,0.6147928247814738,0.6748132467941428,0.6030878080556884
2015-05-22,0.6738255158948865,0.6690013374733569,0.6757679180887372,0.6565300127477969,0.6188121546961328,0.6269030411974024,0.6589547707727306,0.6382298605267733,0.6204808733864059,0.5870796878694725,0.6033428137296911,0.6253811824157521,0.5978602339725844,0.6061898775302642,0.6339920641850268,0.683420513986809,0.6149939850982595
2015-05-25,0.6819994955486843,0.6800414002353579,0.6896346316288025,0.6698597742346708,0.6327808471454881,0.6375600719028578,0.66286962274239,0.6494460087717229,0.6355513298991993,0.60238354220856,0.6161510889468977,0.6400282680039098,0.6134061291603161,0.6258245871766978,0.6490099634254008,0.6826157694931859,0.6212513848538591
2015-05-28,0.6900146664549215,0.68883186116743,0.7019681944464783,0.6767232619579876,0.6453130755064457,0.6489232913899999,0.6676272553444073,0.6594681496175889,0.6471403501303172,0.614178292740601,0.6280048311060897,0.6497962186704355,0.6283050955445237,0.6402516256315353,0.6626599532388407,0.68021903045783,0.6259586992596679
2015-05-31,0.692826515455827,0.6912610530594123,0.7110108541211969,0.6776470153527824,0.6523112338858194,0.653270479474669,0.6733454766241649,0.6652971621170599,0.6543870354340204,0.6226152754788358,0.6373456188880667,0.6596803392160469,0.6392146676403274,0.6500454376374311,0.6718957672419655,0.680805094382534,0.6352592113584175
2015-06-03,0.6963016245200704,0.6919321527649779,0.7192625252066577,0.6806399763519139,0.6587753222836092,0.6609285006786744,0.675330089081007,0.6707501092939834,0.6633649784538821,0.6317427287774887,0.6469980909338842,0.6690513761290254,0.6512906719727898,0.658172418176938,0.6814129243187133,0.7452896205454764,0.6471748981270596
2015-06-06,0.69758143619158,0.692253524454968,0.7223874183987847,0.6809725275740393,0.6604604051565371,0.6643493891925603,0.6788008953411452,0.6741158939307756,0.6690979958090318,0.6382596358477186,0.6526376280827525,0.6739498726971737,0.6579167912331344,0.6653294346427849,0.6862636669674129,0.7411084480677383,0.6515874110246249
2015-06-09,0.6990480816837462,0.695457789246336,0.725317005766404,0.6817669554935611,0.6627163904235719,0.6665321545177738,0.6806767619099401,0.6781303912489594,0.6771109755116911,0.6435091038070462,0.6581213230997001,0.6763119935719327,0.6620140069887916,0.6692092909374271,0.6902509774246437,0.7441437343643388,0.6543262121334603
2015-06-12,0.7008230029800002,0.7009116558676327,0.7312640681226711,0.6827461340920429,0.6669705340699806,0.6697237609596826,0.6834769685271274,0.6829064208453011,0.6801950739568694,0.6487396547647197,0.6640530642459195,0.6814137874284829,0.6670032003371875,0.6738236831325126,0.6948203769997184,0.749339584681863,0.6635981950539923
2015-06-15,0.7097443179164289,0.7078022429853549,0.7347600423813635,0.6866813235538637,0.6722467771639041,0.6746212260170947,0.6907266943968681,0.6906345632236315,0.6862970478744782,0.6568739654764723,0.6695757197958471,0.6869512183316072,0.6719139780730349,0.6790219371971804,0.7021255954286598,0.7513776875841915,0.6705783339910903
2015-06-18,0.7219912748605759,0.7140217303975082,0.7367716923737956,0.690459474938571,0.680211786372007,0.6806834440001469,0.7041839980425741,0.6979678370132891,0.6913299938034215,0.6632111610309769,0.6752444773444505,0.6897392954296824,0.6773442592420147,0.6830242161418968,0.7070151440185498,0.7699217998285538,0.6760464264826851
2015-06-21,0.7251674498117652,0.7154773551109911,0.7377091603314343,0.6919282428362923,0.6820902394106806,0.6828753806082402,0.7126299286808215,0.7002148273155039,0.6940262148367833,0.6662567982974693,0.678643783846963,0.6917916299602116,0.6796477178606263,0.684493287942781,0.7091688737545717,0.7717849582757469,0.6778247452582125
2015-06-24,0.7272319635300385,0.7143241978704407,0.735316663981212,0.6932769227926912,0.6845211786372002,0.6867640045489559,0.7119774533525449,0.701869514734709,0.6970630111585713,0.6687349255143058,0.6808255736938488,0.6941537508349707,0.6825098877186451,0.685896439855164,0.7124382742997949,0.7737180945049941,0.6759323097698171
2015-06-27,0.7262230608984838,0.7140973472657409,0.731557026859434,0.692842758697138,0.6846040515653763,0.6872500825415457,0.7096666032315647,0.7014746461460349,0.6971386945559989,0.6688200520217543,0.6832606070051043,0.6948120468164604,0.684146813630594,0.6870735807212573,0.71365095996197,0.7743478945434825,0.6758942708655278
2015-06-30,0.7211692060496786,0.7118099370016971,0.7278364509025563,0.688778243760046,0.683913443830571,0.6897079863531311,0.7059148700939749,0.6994532950373479,0.6984442331616263,0.669765902104516,0.6839521564655002,0.694027900132627,0.6849505736592156,0.6868569868018958,0.7135636465942942,0.7728696138975878,0.6767311267598936
2015-07-03,0.7179276392612589,0.7086529327529746,0.7240963443632291,0.6856190071498512,0.6817127071823199,0.6898547268791958,0.6999791570381247,0.6976763863883152,0.6982455642433795,0.6684511704894776,0.68379631433358,0.6925176917045024,0.6846761190152962,0.685896439855164,0.7130300649029371,0.7721523416315317,0.6771210255288599
2015-07-06,0.7152092071706825,0.7038796179457738,0.7183445878314705,0.6847783915605891,0.6794475138121544,0.6879287574745954,0.6943696816464131,0.695551617315928,0.6981793412706296,0.6686781745093402,0.6820723107492113,0.6900878050669429,0.6848035443856874,0.6835233238691204,0.7117009614171932,0.7709977082276379,0.678081507862166
2015-07-09,0.7087447569759078,0.6916769458346927,0.7083058684517622,0.6796423226855363,0.6737937384898702,0.6837833376132646,0.683186979492338,0.6893277362277822,0.6942059629056745,0.666304090801608,0.6799781821015319,0.6832918671403813,0.6823922642998225,0.6799259813823404,0.7079949940335869,0.7609121603890756,0.6726609640009323
2015-07-12,0.704279428662176,0.6811756532588513,0.7030912029374,0.675596282816339,0.669944751381215,0.6791610110422249,0.6785199684636924,0.6843166658048498,0.6908002100214274,0.6637881295814612,0.6751373358787554,0.6774156074232549,0.6803142505672882,0.6761779648646994,0.7034838033702958,0.7355714560627002,0.6681343343904979
2015-07-15,0.6954795557091737,0.667422835348995,0.6925153925402934,0.6681323553864068,0.6566666666666664,0.67130122161488,0.6682344198859974,0.6746141804831499,0.6881985932348497,0.6583873256088912,0.6688744302022054,0.670203394096633,0.6757955508941841,0.6704523516920222,0.6950823171027486,0.732168786410315,0.665319455473085
2015-07-18,0.684082692649024,0.6535660442453199,0.6821348879676966,0.6561697489238283,0.645441988950276,0.6659451924135152,0.6587825897833238,0.6654757931452687,0.6800720884360502,0.6523811775833529,0.6622706198620799,0.6630105424165267,0.6707181399816706,0.6631258269414586,0.687592770453156,0.7127062157764904,0.660231752024383
