datetime,close_val
2015-01-31,1504.2
2015-02-28,1440.3200000000002
2015-03-31,1508.968888888889
2015-04-30,1507.5089999999998
2015-05-31,1543.337
2015-06-30,1580.0459999999998
2015-07-31,1575.770909090909
2015-08-31,1543.7469999999998
2015-09-30,1511.3439999999998
2015-10-31,1498.4063636363637
2015-11-30,1472.382
2015-12-31,1433.4180000000001
2016-01-31,1384.2670000000003
2016-02-29,1351.154
2016-03-31,1350.1699999999998
2016-04-30,1361.7079999999999
2016-05-31,1387.5170000000003
2016-06-30,1437.008
2016-07-31,1436.9160000000002
2016-08-31,1411.6780000000003
2016-09-30,1408.245
2016-10-31,1417.027
2016-11-30,1426.9500000000003
2016-12-31,1454.810909090909
2017-01-31,1507.656
2017-02-28,1516.584
2017-03-31,1506.4180000000001
2017-04-30,1487.4779999999998
2017-05-31,1481.1245454545453
2017-06-30,1460.322
2017-07-31,1438.5690000000002
2017-08-31,1451.7236363636364
2017-09-30,1480.818
2017-10-31,1504.388
2017-11-30,1520.252
2017-12-31,1540.456
2018-01-31,1551.7972727272727
2018-02-28,1564.7155555555555
2018-03-31,1558.012
2018-04-30,1551.191
2018-05-31,1580.9350000000002
2018-06-30,1609.08
2018-07-31,1610.9172727272728
2018-08-31,1618.4009999999996
2018-09-30,1637.5970000000002
2018-10-31,1680.5590909090906
2018-11-30,1574.9869999999999
2018-12-31,1434.895
