datetime,close_val
2015-01-12,48.65
2015-01-19,47.36666666666667
2015-01-26,46.31
2015-02-02,44.45
2015-02-09,52.53333333333333
2015-02-16,51.21
2015-02-23,52.14
2015-03-02,49.54333333333333
2015-03-09,50.76
2015-03-16,48.17
2015-03-23,45.826666666666675
2015-03-30,51.43
2015-04-06,50.09
2015-04-13,52.51
2015-04-20,56.71
2015-04-27,56.16
2015-05-04,57.06
2015-05-11,60.93
2015-05-18,59.95666666666667
2015-05-25,60.72
2015-06-01,57.51
2015-06-08,59.51
2015-06-15,60.77
2015-06-22,59.92
2015-06-29,59.656666666666666
2015-07-06,56.96
2015-07-13,52.423333333333325
2015-07-20,50.91
2015-07-27,49.19
2015-08-03,46.75666666666666
2015-08-10,44.66
2015-08-17,43.3
2015-08-24,40.43666666666667
2015-08-31,42.56
2015-09-07,46.25
2015-09-14,44.85666666666666
2015-09-21,46.9
2015-09-28,44.48
2015-10-05,44.985
2015-10-12,47.81
2015-10-19,46.60333333333333
2015-10-26,45.38
2015-11-02,45.94
2015-11-09,45.35333333333333
2015-11-16,41.75
2015-11-23,40.75
2015-11-30,42.07666666666666
2015-12-07,39.94
2015-12-14,36.48
2015-12-21,34.95
2015-12-28,37.5
2016-01-04,37.87
2016-01-11,33.97
2016-01-18,29.599999999999998
2016-01-25,29.53
2016-02-01,32.3
2016-02-08,30.153333333333332
2016-02-15,26.21
2016-02-22,30.66
2016-02-29,32.800000000000004
2016-03-07,36.07333333333333
2016-03-14,37.84
2016-03-21,38.46
2016-03-28,40.42
2016-04-04,38.34
2016-04-11,37.75
2016-04-18,40.77
2016-04-25,43.18
2016-05-02,45.055
2016-05-09,44.32
2016-05-16,46.23
2016-05-23,48.26666666666667
2016-05-30,49.48
2016-06-06,49.01
2016-06-13,49.43666666666667
2016-06-20,46.21
2016-06-27,49.13
2016-07-04,47.85
2016-07-11,47.43
2016-07-18,45.99666666666667
2016-07-25,44.75
2016-08-01,41.92
2016-08-08,41.443333333333335
2016-08-15,43.49
2016-08-22,46.79
2016-08-29,47.57333333333333
2016-09-05,43.16
2016-09-12,45.5
2016-09-19,43.74333333333334
2016-09-26,46.32
2016-10-03,47.93
2016-10-10,50.44
2016-10-17,50.18
2016-10-24,50.553333333333335
2016-10-31,49.72
2016-11-07,45.34
2016-11-14,43.90333333333333
2016-11-21,45.42
2016-11-28,47.96
2016-12-05,48.144999999999996
2016-12-12,49.77
2016-12-19,52.333333333333336
2016-12-26,52.95
2017-01-02,54.06
2017-01-09,53.76
2017-01-16,52.25
2017-01-23,52.550000000000004
2017-01-30,53.78
2017-02-06,53.88
2017-02-13,52.98666666666667
2017-02-20,53.36
2017-02-27,53.59
2017-03-06,53.51333333333334
2017-03-13,49.28
2017-03-20,48.86
2017-03-27,47.68
2017-04-03,50.35
2017-04-10,51.15
2017-04-17,53.025
2017-04-24,50.27
2017-05-01,49.230000000000004
2017-05-08,45.52
2017-05-15,47.33
2017-05-22,49.906666666666666
2017-05-29,48.9
2017-06-05,48.32
2017-06-12,46.699999999999996
2017-06-19,44.46
2017-06-26,42.53
2017-07-03,45.14
2017-07-10,45.13
2017-07-17,45.86666666666667
2017-07-24,46.79
2017-07-31,48.75
2017-08-07,49.376666666666665
2017-08-14,48.59
2017-08-21,46.78
2017-08-28,47.35999999999999
2017-09-04,47.23
2017-09-11,49.16
2017-09-18,49.343333333333334
2017-09-25,50.55
2017-10-02,51.36
2017-10-09,50.79
2017-10-16,51.3
2017-10-23,51.949999999999996
2017-10-30,52.64
2017-11-06,54.3
2017-11-13,56.9
2017-11-20,55.14
2017-11-27,58.02
2017-12-04,57.99
2017-12-11,55.96
2017-12-18,57.199999999999996
2017-12-25,58.36
2018-01-01,59.64
2018-01-08,62.01
2018-01-15,63.57
2018-01-22,63.53
2018-01-29,65.51
2018-02-05,64.73
2018-02-12,60.626666666666665
2018-02-19,61.34
2018-02-26,61.68
2018-03-05,62.276666666666664
2018-03-12,60.12
2018-03-19,60.96
2018-03-26,64.99
2018-04-02,64.94
2018-04-09,63.37
2018-04-16,66.37333333333333
2018-04-23,68.29
2018-04-30,68.05
2018-05-07,68.43
2018-05-14,71.14
2018-05-21,71.61
2018-05-28,70.71
2018-06-04,68.21
2018-06-11,65.78666666666666
2018-06-18,66.89
2018-06-25,65.71
2018-07-02,72.34
2018-07-09,0.0
2018-07-16,71.06
2018-07-23,69.46
2018-07-30,69.3
2018-08-06,68.75333333333333
2018-08-13,66.81
2018-08-20,65.01
2018-08-27,67.81
2018-09-03,70.25
2018-09-10,68.72
2018-09-17,69.05
2018-09-24,70.32
2018-10-01,73.435
2018-10-08,74.33
2018-10-15,73.17
2018-10-22,70.13333333333334
2018-10-29,67.33
2018-11-05,65.31
2018-11-12,60.77666666666667
2018-11-19,56.46
2018-11-26,54.63
2018-12-03,51.245000000000005
2018-12-10,52.89
2018-12-17,50.91
2018-12-24,45.88
2018-12-31,46.22
